program_id,university_id,student_gre,student_toefl,student_gpa,student_work_experience,admission_result,admission_year,record_id
1,1,293.0,61.0,3.52,2.0,Rejected,2020,1
1,1,274.0,97.0,2.86,58.0,Rejected,2022,2
1,1,284.0,64.0,3.61,,Rejected,2021,3
1,1,277.0,69.0,2.86,14.0,Rejected,2020,4
1,1,287.0,,2.81,49.0,Rejected,2018,5
1,1,340.0,120.0,4.0,89.0,Rejected,2018,6
1,1,333.0,63.0,2.07,52.0,Admitted,2019,7
1,1,327.0,91.0,,7.0,Rejected,2023,8
1,1,301.0,,2.19,52.0,Admitted,2018,9
1,1,291.0,83.0,3.92,11.0,Rejected,2023,10
1,1,,77.0,2.27,34.0,Rejected,2020,11
1,1,282.0,102.0,,35.0,Admitted,2018,12
1,1,264.0,94.0,3.19,52.0,Admitted,2023,13
1,1,333.0,95.0,2.83,32.0,Admitted,2021,14
1,1,308.0,98.0,2.47,2.0,Rejected,2023,15
1,1,284.0,72.0,2.42,51.0,Rejected,2022,16
1,1,299.0,,3.85,60.0,Admitted,2018,17
1,1,,103.0,3.14,13.0,Rejected,2023,18
1,1,311.0,110.0,3.71,,Admitted,2019,19
1,1,282.0,,3.92,59.0,Admitted,2023,20
1,1,309.0,72.0,,33.0,Admitted,2019,21
1,1,328.0,80.0,3.11,35.0,Rejected,2018,22
1,1,266.0,69.0,3.88,49.0,Rejected,2022,23
1,1,,64.0,3.65,27.0,Rejected,2023,24
1,1,302.0,118.0,3.52,54.0,Rejected,2023,25
1,1,267.0,95.0,3.06,49.0,Rejected,2019,26
1,1,286.0,82.0,2.98,5.0,Rejected,2018,27
1,1,,106.0,3.21,,Admitted,2018,28
2,1,326.0,117.0,2.57,5.0,Rejected,2022,29
2,1,280.0,91.0,2.59,,Rejected,2021,30
2,1,289.0,119.0,2.44,12.0,Admitted,2021,31
2,1,282.0,100.0,2.52,1.0,Admitted,2018,32
2,1,311.0,80.0,2.15,,Rejected,2019,33
2,1,206.0,142.0,4.97,-10.0,Rejected,2022,34
2,1,340.0,120.0,4.0,99.0,Admitted,2023,35
2,1,340.0,115.0,2.52,34.0,Admitted,2022,36
2,1,,79.0,2.63,60.0,Admitted,2020,37
