university_id,program_id,student_gre,student_gpa,years_experience_pre_degree,salary,graduation_year,job_sector,record_id
1,1,,4.63,3,79852,2022,Healthcare,1
1,1,291.0,2.42,2,110439,2015,Government,2
1,1,328.0,3.07,7,86391,2015,Government,3
1,1,335.0,3.89,6,102737,2016,Technology,4
1,1,163.0,4.94,7,64257,2019,Education,5
1,1,270.0,2.88,3,131830,2018,Education,6
1,1,340.0,4.0,10,53530,2017,Finance,7
1,1,331.0,2.49,3,99518,2017,Technology,8
1,1,265.0,3.2,5,61733,2015,Finance,9
1,1,295.0,2.29,0,52792,2023,Non-profit,10
1,1,,2.04,5,110914,2017,Technology,11
1,1,266.0,3.48,5,117190,2015,Finance,12
1,1,340.0,4.0,7,75457,2021,Technology,13
1,1,328.0,3.17,7,110064,2018,Finance,14
1,1,312.0,3.15,8,94716,2015,Education,15
1,1,258.0,4.2,4,62755,2022,Finance,16
1,1,324.0,2.59,10,63452,2021,Healthcare,17
1,1,279.0,,0,43343,2020,Education,18
1,1,320.0,3.94,2,122845,2015,Education,19
1,1,288.0,3.4,4,36204,2022,Non-profit,20
1,1,289.0,3.57,5,101373,2020,Finance,21
1,1,,2.26,0,81832,2015,Government,22
1,1,271.0,3.91,0,140771,2020,Non-profit,23
1,1,,2.86,2,120706,2020,Non-profit,24
1,1,317.0,2.87,4,146430,2018,Technology,25
1,1,313.0,2.86,2,33470,2022,Finance,26
1,1,267.0,2.08,1,91347,2023,Finance,27
1,1,318.0,3.6,10,31544,2021,Non-profit,28
1,1,272.0,3.26,9,140682,2019,Government,29
1,1,269.0,2.28,10,98486,2020,Healthcare,30
1,1,306.0,3.56,4,118458,2023,Technology,31
1,1,336.0,3.59,9,102219,2018,Healthcare,32
1,1,308.0,2.81,9,53739,2016,Government,33
1,1,319.0,3.89,10,95961,2017,Finance,34
1,1,,3.89,6,50191,2016,Finance,35
1,1,274.0,3.11,2,141988,2019,Education,36
1,1,315.0,3.31,10,37772,2020,Government,37
1,1,324.0,2.53,9,64400,2019,Finance,38
1,1,,2.16,10,146599,2021,Finance,39
1,1,266.0,2.97,4,82049,2017,Education,40
1,1,317.0,2.4,3,131566,2019,Finance,41
1,2,264.0,3.86,3,83364,2023,Government,42
1,2,278.0,3.55,1,73668,2019,Non-profit,43
1,2,277.0,2.67,1,128985,2023,Government,44
1,2,335.0,2.42,7,122273,2016,Healthcare,45
1,2,293.0,3.35,9,64353,2016,Technology,46
1,2,262.0,3.97,4,116499,2019,Non-profit,47
1,2,,2.25,5,113997,2023,Technology,48
1,2,274.0,2.4,5,61606,2019,Non-profit,49
1,2,313.0,3.46,2,149711,2019,Healthcare,50
1,2,330.0,2.1,6,108472,2017,Technology,51
1,2,282.0,2.73,7,147355,2020,Technology,52
1,2,274.0,3.63,9,47497,2023,Government,53
1,2,266.0,2.92,2,52429,2022,Healthcare,54
1,2,274.0,3.29,2,58099,2016,Government,55
1,2,333.0,3.98,2,81240,2023,Government,56
1,2,283.0,2.1,8,107434,2016,Technology,57
1,2,270.0,3.41,6,146743,2018,Technology,58
1,2,277.0,3.84,7,68205,2018,Finance,59
1,2,281.0,3.21,4,85637,2023,Non-profit,60
1,2,278.0,3.96,1,101247,2015,Education,61
1,2,267.0,2.77,9,40023,2021,Non-profit,62
1,2,301.0,2.78,10,138709,2020,Government,63
1,2,331.0,3.71,9,61133,2015,Technology,64
1,2,332.0,2.47,3,77522,2017,Education,65
1,2,271.0,,9,56670,2020,Finance,66
1,2,285.0,3.6,7,90222,2021,Finance,67
1,2,278.0,3.41,5,87913,2023,Finance,68
1,2,294.0,3.82,0,127536,2021,Non-profit,69
1,3,271.0,2.72,0,80489,2017,Education,70
